"","CPG","WEIGHT","P","gene","TRAIT"
"4709","cg10695831",-0.001,1.24e-05,"-","mSmoking"
"4710","cg17264271",-0.008,1.24e-05,"ESR1","mSmoking"
"4718","cg14197071",-0.02,1.25e-05,"PRDM8","mSmoking"
"4726","cg18789929",0.006,1.26e-05,"-","mSmoking"
"4733","cg16458866",0.009,1.27e-05,"-","mSmoking"
"4734","cg21854617",0.007,1.27e-05,"-","mSmoking"
"4735","cg12800803",-0.004,1.27e-05,"PSMA7","mSmoking"
"4743","cg04907595",0.007,1.28e-05,"RUNX3","mSmoking"
"4744","cg15986841",0.01,1.28e-05,"ECHDC2","mSmoking"
"4745","cg21348975",0.003,1.28e-05,"-","mSmoking"
"4746","cg13985132",0.012,1.28e-05,"LOC390595","mSmoking"
"4747","cg08050115",-0.007,1.28e-05,"ITGAM","mSmoking"
"4766","cg22488352",0.01,1.3e-05,"ABHD10","mSmoking"
"4767","cg05656770",-0.004,1.3e-05,"FBXW5","mSmoking"
"4768","cg23523668",-0.008,1.3e-05,"-","mSmoking"
"4769","cg25839227",-0.005,1.3e-05,"ABI3","mSmoking"
"4770","cg20956548",-0.009,1.3e-05,"ZNF787","mSmoking"
"4793","cg01062443",-0.004,1.34e-05,"TCF3","mSmoking"
"4794","cg18611245",-0.003,1.34e-05,"ZGPAT;ARFRP1","mSmoking"
"4795","cg07495470",-0.006,1.34e-05,"POLDIP3","mSmoking"
"4796","cg27115863",0.005,1.34e-05,"-","mSmoking"
"4801","cg18179039",0.011,1.35e-05,"TBC1D9","mSmoking"
"4802","cg22178392",-0.003,1.35e-05,"TNIP1","mSmoking"
"4803","cg09112081",0.004,1.35e-05,"-","mSmoking"
"4808","cg16018124",-0.006,1.36e-05,"-","mSmoking"
"4809","cg26146569",-0.007,1.36e-05,"KLF13","mSmoking"
"4812","cg17741993",-0.007,1.37e-05,"TNF","mSmoking"
"4813","cg19203115",0.007,1.37e-05,"B4GALT6","mSmoking"
"4820","cg17095731",0.009,1.38e-05,"LRP8","mSmoking"
"4829","cg19084479",0.01,1.39e-05,"POLD2","mSmoking"
"4830","cg27247689",0.007,1.39e-05,"-","mSmoking"
"4831","cg21609804",-0.005,1.39e-05,"MARK2","mSmoking"
"4841","cg14095959",0.008,1.4e-05,"-","mSmoking"
"4842","cg21960828",0.002,1.4e-05,"TADA2B","mSmoking"
"4843","cg10754935",-0.004,1.4e-05,"FBXL15","mSmoking"
"4853","cg10970124",-0.003,1.41e-05,"BAT4;CSNK2B","mSmoking"
"4854","cg27178191",0.003,1.41e-05,"SLC4A8","mSmoking"
"4858","cg03654166",0.006,1.42e-05,"MAP1D","mSmoking"
"4859","cg11872478",0.005,1.42e-05,"-","mSmoking"
"4860","cg23395310",-0.005,1.42e-05,"SNHG7","mSmoking"
"4861","cg15283950",-0.007,1.42e-05,"MRVI1","mSmoking"
"4862","cg01919939",0.007,1.42e-05,"-","mSmoking"
"4863","cg11390978",-0.005,1.42e-05,"SIN3B","mSmoking"
"4864","cg25294504",0.011,1.42e-05,"-","mSmoking"
"4866","cg13852084",-0.005,1.43e-05,"HLA-DMA","mSmoking"
"4867","cg02709139",-0.007,1.43e-05,"DLGAP2","mSmoking"
"4868","cg16542646",-0.003,1.43e-05,"-","mSmoking"
"4874","cg05804170",-0.003,1.44e-05,"PRDM16","mSmoking"
"4875","cg12619504",-0.005,1.44e-05,"SQSTM1;MGAT4B","mSmoking"
"4881","cg19757176",-0.007,1.45e-05,"TPM3;NUP210L","mSmoking"
"4882","cg21848084",-0.006,1.45e-05,"PRDM16","mSmoking"
"4883","cg05757475",-0.005,1.45e-05,"-","mSmoking"
"4884","cg16000989",0.009,1.45e-05,"DCAF4L1","mSmoking"
"4885","cg16091553",0.017,1.45e-05,"GABRG1","mSmoking"
"4886","cg08042799",-0.006,1.45e-05,"MPV17L","mSmoking"
"4887","cg10805039",-0.007,1.45e-05,"NXN","mSmoking"
"4898","cg14875327",0.008,1.46e-05,"-","mSmoking"
"4899","cg19894382",0.004,1.46e-05,"-","mSmoking"
"4900","cg05515072",-0.004,1.46e-05,"PRDM11","mSmoking"
"4901","cg11326574",-0.006,1.46e-05,"LRIG3","mSmoking"
"4907","cg24090911",-0.004,1.47e-05,"AHRR","mSmoking"
"4908","cg08713858",0.005,1.47e-05,"CES8","mSmoking"
"4918","cg14372472",0.003,1.48e-05,"-","mSmoking"
"4919","cg15833940",-0.012,1.48e-05,"DLGAP2","mSmoking"
"4920","cg01569660",0.008,1.48e-05,"LOC390594","mSmoking"
"4923","cg06758350",0.009,1.49e-05,"RUNX1","mSmoking"
"4927","cg02959609",0.005,1.5e-05,"C1orf230","mSmoking"
"4928","cg21691065",-0.008,1.5e-05,"-","mSmoking"
"4929","cg24973755",-0.006,1.5e-05,"MAEA","mSmoking"
"4930","cg03559915",-0.005,1.5e-05,"RPS6KB2","mSmoking"
"4931","cg06750167",0.007,1.5e-05,"TESC","mSmoking"
"4932","cg18488946",0.009,1.5e-05,"PAR5;SNORD64","mSmoking"
"4933","cg19443920",0.005,1.5e-05,"ACLY","mSmoking"
"4938","cg17749710",-0.003,1.51e-05,"-","mSmoking"
"4939","cg12984635",0.007,1.51e-05,"ETHE1","mSmoking"
"4946","cg26671988",0.007,1.52e-05,"-","mSmoking"
"4947","cg07362537",-0.008,1.52e-05,"VPS52;RPS18","mSmoking"
"4948","cg02193283",-0.005,1.52e-05,"ACSF3","mSmoking"
"4949","cg07308243",-0.008,1.52e-05,"KIAA0513","mSmoking"
"4950","cg03293732",-0.005,1.52e-05,"IKZF3","mSmoking"
"4951","cg19426731",-0.005,1.52e-05,"RPL13AP5;SNORD33;SNORD32A;RPL13A","mSmoking"
"4956","cg02152233",0.01,1.53e-05,"OPRD1","mSmoking"
"4957","cg27224986",0.003,1.53e-05,"SCFD2","mSmoking"
"4962","cg08166729",-0.003,1.54e-05,"-","mSmoking"
"4963","cg19408882",-0.005,1.54e-05,"MMP28","mSmoking"
"4970","cg15562346",-0.006,1.55e-05,"-","mSmoking"
"4971","cg09595050",-0.017,1.55e-05,"PRDM8","mSmoking"
"4972","cg23672659",-0.004,1.55e-05,"KIAA1949","mSmoking"
"4973","cg21722785",0.005,1.55e-05,"C17orf44","mSmoking"
"4981","cg00018184",-0.005,1.56e-05,"S100A3","mSmoking"
"4986","cg01857838",0.004,1.57e-05,"-","mSmoking"
"4987","cg00298065",0.006,1.57e-05,"ZNF274","mSmoking"
"4991","cg09845093",-0.005,1.58e-05,"-","mSmoking"
"4995","cg08055924",0.003,1.59e-05,"MIR574;FAM114A1","mSmoking"
"4996","cg12286573",0.004,1.59e-05,"C17orf104","mSmoking"
"5005","cg13131501",-0.005,1.6e-05,"RBM8A","mSmoking"
"5006","cg26210267",-0.005,1.6e-05,"ATP5I","mSmoking"
"5007","cg19180602",-0.005,1.6e-05,"RPL38","mSmoking"
"5015","cg23737263",0.006,1.61e-05,"-","mSmoking"
"5016","cg12902206",0.01,1.61e-05,"DNAH1","mSmoking"
"5017","cg21513757",-0.001,1.61e-05,"SLC25A13","mSmoking"
"5018","cg07422940",0.006,1.61e-05,"-","mSmoking"
"5019","cg01970040",0.012,1.61e-05,"-","mSmoking"
"5020","cg08685733",0.007,1.61e-05,"-","mSmoking"
"5028","cg07493435",0.007,1.62e-05,"-","mSmoking"
"5036","cg25944717",0.012,1.63e-05,"TRIM41","mSmoking"
"5037","cg13058214",-0.008,1.63e-05,"TNNT3","mSmoking"
"5047","cg25215890",-0.008,1.64e-05,"CD48","mSmoking"
"5048","cg01485797",-0.005,1.64e-05,"SNORA52;RPLP2","mSmoking"
"5049","cg03505866",-0.005,1.64e-05,"KIAA0247","mSmoking"
"5053","cg02356223",0.003,1.65e-05,"AHRR","mSmoking"
"5054","cg05460571",-0.006,1.65e-05,"-","mSmoking"
"5055","cg10142520",-0.007,1.65e-05,"EHBP1L1","mSmoking"
"5056","cg19062729",0.004,1.65e-05,"-","mSmoking"
"5064","cg04897644",0.009,1.66e-05,"PKLR","mSmoking"
"5065","cg00966482",-0.009,1.66e-05,"HERV-FRD;LOC221710","mSmoking"
"5066","cg21515003",-0.004,1.66e-05,"-","mSmoking"
"5067","cg11707067",0.004,1.66e-05,"MZF1;LOC100131691","mSmoking"
"5075","cg12592691",-0.004,1.67e-05,"COBL","mSmoking"
"5076","cg04917197",0.005,1.67e-05,"-","mSmoking"
"5077","cg05899103",0.011,1.67e-05,"LOC390595","mSmoking"
"5078","cg03640203",-0.007,1.67e-05,"C20orf200","mSmoking"
"5084","cg27582124",-0.004,1.68e-05,"GALNT5","mSmoking"
"5085","cg14239592",0.007,1.68e-05,"ZNF274","mSmoking"
"5090","cg15130459",-0.009,1.69e-05,"SNORD72;RPL37","mSmoking"
"5091","cg19347790",0.011,1.69e-05,"LIN7A","mSmoking"
"5098","cg02767068",-0.004,1.7e-05,"CORO1A;LOC606724","mSmoking"
"5106","cg00567854",-0.004,1.71e-05,"BTG2","mSmoking"
"5107","cg16163382",-0.002,1.71e-05,"-","mSmoking"
"5108","cg02607237",-0.007,1.71e-05,"-","mSmoking"
"5109","cg14474811",0.006,1.71e-05,"-","mSmoking"
"5113","cg07439880",-0.002,1.72e-05,"EIF3B","mSmoking"
"5114","cg04917446",0.013,1.72e-05,"HOXB9","mSmoking"
"5115","cg06144905",0.006,1.72e-05,"PIPOX","mSmoking"
"5116","cg08520200",0.01,1.72e-05,"-","mSmoking"
"5124","cg07597892",0.004,1.73e-05,"RRBP1","mSmoking"
"5135","cg05467012",0.006,1.74e-05,"-","mSmoking"
"5136","cg08234689",0.017,1.74e-05,"-","mSmoking"
"5137","cg12889810",0.007,1.74e-05,"-","mSmoking"
"5138","cg07615493",-0.008,1.74e-05,"ANKRD24","mSmoking"
"5152","cg12290671",0.011,1.76e-05,"-","mSmoking"
"5153","cg08836481",0.008,1.76e-05,"LARP4B","mSmoking"
"5154","cg24226219",-0.004,1.76e-05,"RASA3","mSmoking"
"5157","cg01307174",0.008,1.77e-05,"ARPP-21","mSmoking"
"5158","cg17408663",-0.001,1.77e-05,"C4orf43","mSmoking"
"5159","cg14331765",0.006,1.77e-05,"-","mSmoking"
"5165","cg03999941",-0.005,1.78e-05,"-","mSmoking"
"5166","cg00601836",-0.012,1.78e-05,"ESR1","mSmoking"
"5167","cg06278714",-0.005,1.78e-05,"HECW1","mSmoking"
"5175","cg03033176",-0.003,1.79e-05,"EHBP1L1","mSmoking"
"5176","cg23006567",0.01,1.79e-05,"-","mSmoking"
"5178","cg26466145",0.006,1.8e-05,"-","mSmoking"
"5179","cg24526596",-0.005,1.8e-05,"DLGAP2","mSmoking"
"5186","cg07718903",0.009,1.81e-05,"FERMT1","mSmoking"
"5194","cg17270100",0.008,1.83e-05,"-","mSmoking"
"5195","cg02343962",-0.003,1.83e-05,"-","mSmoking"
"5201","cg09764443",-0.004,1.84e-05,"POU2F3","mSmoking"
"5202","cg24681208",0.005,1.84e-05,"REM2","mSmoking"
"5210","cg00584174",0.007,1.85e-05,"HRASLS5","mSmoking"
"5211","cg17464815",0.008,1.85e-05,"-","mSmoking"
"5218","cg17598923",0.015,1.86e-05,"-","mSmoking"
"5219","cg00869215",0.006,1.86e-05,"CLK2P","mSmoking"
"5220","cg16711124",0.005,1.86e-05,"-","mSmoking"
"5228","cg07080372",-0.004,1.87e-05,"SLC25A22","mSmoking"
"5229","cg19118519",0.008,1.87e-05,"-","mSmoking"
"5234","cg03880355",0.008,1.88e-05,"FAM169A","mSmoking"
"5235","cg13455434",0.011,1.88e-05,"RBPMS","mSmoking"
"5236","cg19223119",-0.004,1.88e-05,"DIP2C","mSmoking"
"5237","cg22964469",-0.004,1.88e-05,"SORL1","mSmoking"
"5238","cg09121543",-0.006,1.88e-05,"LIMD2","mSmoking"
"5239","cg22254135",-0.009,1.88e-05,"CCL16","mSmoking"
"5245","cg05499367",0.008,1.89e-05,"TMEM26","mSmoking"
"5246","cg25625514",-0.006,1.89e-05,"-","mSmoking"
"5253","cg25844921",0.011,1.9e-05,"MRPS25","mSmoking"
"5254","cg16706260",0.006,1.9e-05,"REP15","mSmoking"
"5255","cg09380135",-0.006,1.9e-05,"MIR641;AKT2","mSmoking"
"5256","cg06057569",-0.01,1.9e-05,"BRD1","mSmoking"
"5265","cg02173782",0.005,1.92e-05,"TRERF1","mSmoking"
"5266","cg04304130",-0.007,1.92e-05,"LOC221710;HERV-FRD","mSmoking"
"5267","cg01268763",-0.008,1.92e-05,"DDHD1","mSmoking"
"5275","cg22283115",-0.009,1.93e-05,"RADIL","mSmoking"
"5279","cg24146125",-0.006,1.94e-05,"TUBB","mSmoking"
"5280","cg02727423",-0.005,1.95e-05,"EML1","mSmoking"
"5297","cg09908750",-0.006,1.97e-05,"HOXA2","mSmoking"
"5298","cg23902114",0.012,1.97e-05,"-","mSmoking"
"5305","cg01651593",-0.001,1.98e-05,"CDC20","mSmoking"
"5306","cg16736826",-0.005,1.98e-05,"EDN2","mSmoking"
"5307","cg20366479",0.012,1.98e-05,"IGFBP2","mSmoking"
"5308","cg20899713",0.004,1.98e-05,"-","mSmoking"
"5313","cg00668592",-0.002,1.99e-05,"TSNARE1","mSmoking"
"5318","cg10423607",0.012,2e-05,"CPA6","mSmoking"
"5326","cg04234016",-0.006,2.01e-05,"PTPN6","mSmoking"
"5327","cg27589814",-0.005,2.01e-05,"-","mSmoking"
"5328","cg16755067",-0.004,2.01e-05,"-","mSmoking"
"5329","cg26646411",-0.006,2.01e-05,"GNB1L;C22orf29","mSmoking"
"5338","cg04134748",-0.01,2.02e-05,"PRDM16","mSmoking"
"5339","cg02202664",0.008,2.02e-05,"TIAM2","mSmoking"
"5344","cg12931554",0.002,2.03e-05,"-","mSmoking"
"5351","cg14645861",0.006,2.04e-05,"-","mSmoking"
"5352","cg00007076",-0.008,2.04e-05,"RRS1","mSmoking"
"5353","cg15862165",0.005,2.04e-05,"CRADD","mSmoking"
"5354","cg09777775",-0.003,2.04e-05,"AGPAT3","mSmoking"
"5358","cg15955046",-0.008,2.05e-05,"COLEC11","mSmoking"
"5359","cg27129029",0.01,2.05e-05,"-","mSmoking"
"5360","cg23029655",0.005,2.05e-05,"ITGB7","mSmoking"
"5361","cg10408284",0.011,2.05e-05,"WFIKKN2","mSmoking"
"5365","cg10949576",-0.006,2.06e-05,"C11orf66","mSmoking"
"5366","cg14788046",0.006,2.06e-05,"-","mSmoking"
"5371","cg17748769",-0.01,2.07e-05,"PTPRN2","mSmoking"
"5372","cg03671431",0.011,2.07e-05,"-","mSmoking"
"5376","cg09186101",-0.007,2.08e-05,"SLC16A3","mSmoking"
"5392","cg01431482",-0.007,2.1e-05,"PRDM16","mSmoking"
"5393","cg02249390",-0.004,2.1e-05,"LTB","mSmoking"
"5394","cg17131579",-0.003,2.1e-05,"PFDN6;WDR46","mSmoking"
"5398","cg03269757",0.004,2.11e-05,"ATL2","mSmoking"
"5408","cg08418872",-0.005,2.12e-05,"TNFRSF1A","mSmoking"
"5425","cg20879770",0.006,2.14e-05,"ACTR8","mSmoking"
"5429","cg14952266",0.005,2.15e-05,"-","mSmoking"
"5430","cg03995300",0.014,2.15e-05,"ZNF232","mSmoking"
"5431","cg26415789",-0.007,2.15e-05,"SEPT9","mSmoking"
"5439","cg17345450",-0.007,2.16e-05,"-","mSmoking"
"5442","cg08643646",-0.004,2.17e-05,"-","mSmoking"
"5443","cg18537730",0.006,2.17e-05,"IZUMO1","mSmoking"
"5447","cg10265016",-0.007,2.18e-05,"KCNS3","mSmoking"
"5454","cg17972213",-0.006,2.2e-05,"S1PR1","mSmoking"
"5455","cg08818610",-0.013,2.2e-05,"FAM65B","mSmoking"
"5456","cg10213821",-0.007,2.2e-05,"BUD31;PDAP1","mSmoking"
"5460","cg10691866",-0.011,2.21e-05,"TPST1","mSmoking"
"5461","cg27016307",0.009,2.21e-05,"HRC","mSmoking"
"5467","cg00955035",0.01,2.22e-05,"-","mSmoking"
"5468","cg10313047",0.01,2.22e-05,"DNAH1","mSmoking"
"5469","cg01188191",-0.004,2.22e-05,"TNXB","mSmoking"
"5470","cg12562461",-0.005,2.22e-05,"LOC146880","mSmoking"
"5474","cg07413467",0.006,2.23e-05,"CDK6","mSmoking"
"5486","cg07845581",0.004,2.26e-05,"LPO","mSmoking"
"5489","cg24166100",-0.006,2.27e-05,"-","mSmoking"
"5490","cg23153481",-0.004,2.27e-05,"-","mSmoking"
"5491","cg15046965",0.005,2.27e-05,"ALDH3A1","mSmoking"
"5494","cg16908215",-0.005,2.28e-05,"GIMAP5","mSmoking"
"5497","cg01564661",0.01,2.29e-05,"CRIP2","mSmoking"
"5498","cg01995548",-0.005,2.29e-05,"RPL13","mSmoking"
"5511","cg12532095",-0.006,2.31e-05,"-","mSmoking"
"5512","cg04263702",-0.004,2.31e-05,"FBXL18","mSmoking"
"5518","cg03222009",0.008,2.32e-05,"HS6ST1","mSmoking"
"5519","cg17401780",0.005,2.32e-05,"-","mSmoking"
"5524","cg15506894",0.007,2.33e-05,"ACSF2;CHAD","mSmoking"
"5525","cg08805821",0.013,2.33e-05,"SIM2","mSmoking"
"5531","cg08663634",-0.005,2.34e-05,"-","mSmoking"
"5540","cg19590598",0.007,2.35e-05,"-","mSmoking"
"5541","cg22516733",0.001,2.35e-05,"NUDT1;FTSJ2","mSmoking"
"5542","cg18954900",-0.008,2.35e-05,"ELK3","mSmoking"
"5543","cg15059065",-0.007,2.35e-05,"NR2F6","mSmoking"
"5548","cg00832476",-0.005,2.36e-05,"-","mSmoking"
"5554","cg05056979",-0.003,2.37e-05,"RPL3L","mSmoking"
"5564","cg00542975",-0.006,2.38e-05,"CLASP1","mSmoking"
"5565","cg25150953",-0.011,2.38e-05,"LIMCH1","mSmoking"
"5566","cg26056498",-0.013,2.38e-05,"-","mSmoking"
"5567","cg27456561",0.005,2.38e-05,"-","mSmoking"
"5574","cg15583058",-0.004,2.39e-05,"SDCCAG3;PMPCA","mSmoking"
"5575","cg20652404",-0.005,2.39e-05,"LOXL1","mSmoking"
"5576","cg11284582",-0.005,2.39e-05,"-","mSmoking"
"5583","cg17001566",-0.012,2.4e-05,"PRDM16","mSmoking"
"5589","cg13829041",0.006,2.41e-05,"-","mSmoking"
"5590","cg23537932",-0.004,2.41e-05,"GRK5","mSmoking"
"5591","cg01662455",0.005,2.41e-05,"PLVAP","mSmoking"
"5592","cg02268510",-0.004,2.41e-05,"SIPA1L3","mSmoking"
"5594","cg20019720",0.012,2.42e-05,"CNKSR3","mSmoking"
"5602","cg04597545",-0.004,2.43e-05,"PTBP1","mSmoking"
"5606","cg14078579",-0.009,2.44e-05,"FBRSL1","mSmoking"
"5607","cg23772500",-0.001,2.44e-05,"PSMD3","mSmoking"
"5608","cg17072519",0.01,2.44e-05,"AIFM3","mSmoking"
"5612","cg22648407",-0.002,2.45e-05,"STOX2","mSmoking"
"5613","cg10665891",0.012,2.45e-05,"-","mSmoking"
"5616","cg08300860",0.004,2.46e-05,"LDB3","mSmoking"
"5626","cg11070193",0.017,2.47e-05,"CATSPER4","mSmoking"
"5627","cg13897134",0.013,2.47e-05,"ZIC4","mSmoking"
"5628","cg13056510",-0.006,2.47e-05,"-","mSmoking"
"5629","cg19724470",0.008,2.47e-05,"CD274","mSmoking"
"5630","cg01850135",-0.005,2.47e-05,"NMRAL1","mSmoking"
"5634","cg19266329",-0.005,2.48e-05,"-","mSmoking"
"5635","cg05208178",-0.003,2.48e-05,"INPP5D","mSmoking"
"5636","cg05839709",-0.008,2.48e-05,"ZC3H12C","mSmoking"
"5642","cg05368724",-0.005,2.49e-05,"FAM178B","mSmoking"
"5643","cg00907008",0.012,2.49e-05,"CHL1","mSmoking"
"5644","cg22288982",0.012,2.49e-05,"SAA4","mSmoking"
"5649","cg26904169",0.009,2.5e-05,"STEAP2","mSmoking"
"5656","cg17365525",0.008,2.52e-05,"AURKB","mSmoking"
"5657","cg26183021",0.006,2.52e-05,"AURKB","mSmoking"
"5660","cg01750375",-0.006,2.54e-05,"WISP2","mSmoking"
"5663","cg22510662",0.006,2.55e-05,"C5orf33","mSmoking"
"5664","cg00542261",-0.003,2.55e-05,"HK1","mSmoking"
"5668","cg26829101",-0.008,2.56e-05,"SRRM4","mSmoking"
"5672","cg18220816",0.009,2.57e-05,"-","mSmoking"
"5676","cg02458885",-0.01,2.58e-05,"PRDM8","mSmoking"
"5677","cg24117468",0.009,2.58e-05,"P4HA2","mSmoking"
"5678","cg15553391",-0.006,2.58e-05,"-","mSmoking"
"5679","cg13683827",0.005,2.58e-05,"FAM113B","mSmoking"
"5680","cg18383486",0.009,2.58e-05,"-","mSmoking"
"5681","cg05442477",0.013,2.58e-05,"OLIG1","mSmoking"
"5689","cg13411784",0.01,2.59e-05,"WDR85","mSmoking"
"5690","cg20309891",-0.005,2.59e-05,"MEOX1","mSmoking"
"5693","cg06972019",-0.004,2.6e-05,"ENO1","mSmoking"
"5694","cg27513402",0.006,2.6e-05,"-","mSmoking"
"5701","cg06945845",0.005,2.62e-05,"KLHL36","mSmoking"
"5702","cg11191337",0.005,2.62e-05,"PLTP","mSmoking"
"5719","cg10467098",-0.005,2.64e-05,"C11orf68;DRAP1","mSmoking"
"5720","cg15965241",-0.006,2.64e-05,"P2RX7","mSmoking"
"5721","cg15660077",0.005,2.64e-05,"NLGN2","mSmoking"
"5722","cg06311355",0.003,2.64e-05,"SUSD2","mSmoking"
"5728","cg14976741",0.01,2.66e-05,"GALNT8","mSmoking"
"5729","cg07330481",0.011,2.66e-05,"ARL5C","mSmoking"
"5730","cg11114275",0.011,2.66e-05,"-","mSmoking"
"5736","cg26744362",-0.005,2.67e-05,"U2AF2","mSmoking"
"5741","cg05138681",0.005,2.68e-05,"NCRNA00092","mSmoking"
"5742","cg26853064",0.004,2.68e-05,"CFDP1","mSmoking"
"5745","cg07945733",0.01,2.69e-05,"C10orf82","mSmoking"
"5754","cg11646762",-0.007,2.7e-05,"-","mSmoking"
"5758","cg02083412",-0.004,2.71e-05,"DLGAP2","mSmoking"
"5759","cg03857553",-0.005,2.71e-05,"NIPSNAP1","mSmoking"
"5764","cg14206516",0.003,2.72e-05,"TNN","mSmoking"
"5767","cg07405182",0.016,2.73e-05,"-","mSmoking"
"5768","cg26278699",0.006,2.73e-05,"COL6A3","mSmoking"
"5769","cg14599755",-0.004,2.73e-05,"-","mSmoking"
"5770","cg26707664",0.011,2.73e-05,"-","mSmoking"
"5783","cg06974428",-0.007,2.75e-05,"PIP4K2A","mSmoking"
"5789","cg04716996",0.01,2.76e-05,"CHURC1","mSmoking"
"5790","cg14071925",0.005,2.76e-05,"LILRA1","mSmoking"
"5792","cg19734655",0.004,2.77e-05,"C6orf64","mSmoking"
"5796","cg14168009",-0.007,2.78e-05,"CARD11","mSmoking"
"5810","cg12088387",-0.003,2.8e-05,"CXCR7","mSmoking"
"5811","cg23041295",-0.007,2.8e-05,"FBXL7","mSmoking"
"5812","cg13424029",-0.009,2.8e-05,"-","mSmoking"
"5813","cg24694702",-0.007,2.8e-05,"HSPB8","mSmoking"
"5816","cg18089426",0.013,2.81e-05,"-","mSmoking"
"5819","cg13275609",0.008,2.82e-05,"-","mSmoking"
"5820","cg19133933",0.004,2.82e-05,"ZAR1","mSmoking"
"5821","cg17617387",-0.004,2.82e-05,"CIZ1","mSmoking"
"5822","cg21649580",-0.004,2.82e-05,"TUBGCP6","mSmoking"
"5823","cg21350153",-0.005,2.83e-05,"KCNIP3","mSmoking"
"5824","cg05845376",0.018,2.83e-05,"SLC25A2","mSmoking"
"5831","cg16615454",0.01,2.84e-05,"ACCN2","mSmoking"
"5837","cg16373471",-0.003,2.85e-05,"TMEM181","mSmoking"
"5838","cg02946697",-0.006,2.85e-05,"-","mSmoking"
"5842","cg03627290",-0.003,2.86e-05,"PNKD;TMBIM1","mSmoking"
"5843","cg23206851",-0.004,2.86e-05,"HOXA2","mSmoking"
"5849","cg25116709",-0.002,2.87e-05,"PRDM6","mSmoking"
"5855","cg06723904",0.005,2.88e-05,"-","mSmoking"
"5859","cg03222323",-0.002,2.89e-05,"TBX4","mSmoking"
"5860","cg18941031",0.012,2.89e-05,"WNT3","mSmoking"
"5865","cg03883572",-0.008,2.9e-05,"MAST4","mSmoking"
"5866","cg11933779",-0.001,2.9e-05,"C17orf46;LOC100133991","mSmoking"
"5872","cg21105875",0.02,2.91e-05,"KDM5B","mSmoking"
"5873","cg27040709",-0.005,2.91e-05,"SYT17","mSmoking"
"5874","cg05205351",-0.007,2.91e-05,"NOP56;SNORD110;SNORA51","mSmoking"
"5878","cg20850873",0.005,2.92e-05,"C3orf24","mSmoking"
"5879","cg10872490",0.003,2.92e-05,"-","mSmoking"
"5880","cg00971695",0.007,2.92e-05,"-","mSmoking"
"5883","cg21188533",0.005,2.93e-05,"CACNA1D","mSmoking"
"5888","cg04036593",0.01,2.94e-05,"-","mSmoking"
"5889","cg01294327",-0.006,2.94e-05,"LINGO3","mSmoking"
"5893","cg11967480",0.005,2.95e-05,"-","mSmoking"
"5894","cg24548833",-0.001,2.95e-05,"CPAMD8","mSmoking"
"5897","cg20907051",0.004,2.96e-05,"-","mSmoking"
"5898","cg11182874",0.005,2.96e-05,"-","mSmoking"
"5899","cg16001335",-0.008,2.96e-05,"BRD1","mSmoking"
"5906","cg19376664",-0.005,2.97e-05,"PBX2","mSmoking"
"5911","cg00452133",0.009,2.98e-05,"CAMTA1","mSmoking"
"5912","cg08975164",0.007,2.98e-05,"MARCH3","mSmoking"
"5922","cg25571880",0.009,3e-05,"-","mSmoking"
"5923","cg02548228",-0.004,3e-05,"-","mSmoking"
"5924","cg06612130",0.006,3e-05,"-","mSmoking"
"5925","cg11822175",0.005,3e-05,"-","mSmoking"
"5929","cg03220447",-0.003,3.01e-05,"NAV2","mSmoking"
"5930","cg10494684",0.009,3.01e-05,"TMEM97","mSmoking"
"5935","cg25313468",0.012,3.02e-05,"REST","mSmoking"
"5936","cg15356553",-0.005,3.02e-05,"MUC2","mSmoking"
"5937","cg27152190",-0.004,3.02e-05,"-","mSmoking"
"5940","cg20824840",0.007,3.04e-05,"-","mSmoking"
"5941","cg00618312",-0.008,3.04e-05,"ELF1","mSmoking"
"5942","cg13055199",-0.007,3.04e-05,"ULK3","mSmoking"
"5951","cg10347032",0.004,3.06e-05,"MAP6D1","mSmoking"
"5952","cg11713658",0.002,3.06e-05,"ARHGAP10","mSmoking"
"5953","cg24928110",0.011,3.06e-05,"-","mSmoking"
"5954","cg12121166",-0.003,3.06e-05,"-","mSmoking"
"5962","cg03928961",0.012,3.09e-05,"PIGZ","mSmoking"
"5963","cg04997045",-0.009,3.09e-05,"CTBP1","mSmoking"
"5964","cg07097725",0.003,3.09e-05,"-","mSmoking"
"5966","cg19045700",-0.007,3.1e-05,"-","mSmoking"
"5967","cg23678210",0.018,3.1e-05,"PXT1","mSmoking"
"5968","cg02326058",0.011,3.1e-05,"-","mSmoking"
"5969","cg21231458",-0.002,3.1e-05,"-","mSmoking"
"5978","cg12638737",0.006,3.12e-05,"ETNK2","mSmoking"
"5983","cg07236781",-0.004,3.14e-05,"RUNX3","mSmoking"
"5991","cg00908631",0.006,3.15e-05,"CDKN2C","mSmoking"
"5997","cg22292753",-0.005,3.16e-05,"RAI1","mSmoking"
"6002","cg02853553",0.006,3.17e-05,"CAMK2B","mSmoking"
"6009","cg08657654",-0.014,3.19e-05,"-","mSmoking"
"6015","cg25974617",0.006,3.2e-05,"TRAM1","mSmoking"
"6016","cg00987015",0.005,3.2e-05,"CHRM1","mSmoking"
"6021","cg05135499",-0.007,3.21e-05,"-","mSmoking"
"6026","cg26548293",0.01,3.22e-05,"C1orf77;S100A13","mSmoking"
"6027","cg14434213",0.009,3.22e-05,"-","mSmoking"
